V0,dV,td1,td2,Machining Time mean,Tool Wear mean,Orbiting Time mean,Machining Time fit,Tool Wear fit,Orbiting Time fit,n
6.200000000000000000e+01,6.900000000000000000e+01,2.469000000000000000e+04,3.204800000000000000e+04,6.893061924378076810e+01,7.659999999999999432e+01,1.904285370906194075e+01,6.817878693275135049e+01,7.285060090649500353e+01,1.852961444758776821e+01,1.000000000000000000e+00
6.300000000000000000e+01,6.400000000000000000e+01,1.718700000000000000e+04,2.651600000000000000e+04,7.197218791643778957e+01,7.040000000000000568e+01,1.860912046432495259e+01,7.018647757729922887e+01,7.121042000877102396e+01,1.887527141717901813e+01,1.000000000000000000e+00
8.300000000000000000e+01,6.500000000000000000e+01,2.412000000000000000e+04,1.841900000000000000e+04,7.067439051866531941e+01,6.809999999999999432e+01,1.767298786640167307e+01,6.617190578794236444e+01,7.099771579245863506e+01,1.634014264248405013e+01,1.000000000000000000e+00
6.000000000000000000e+01,6.100000000000000000e+01,2.337500000000000000e+04,1.945600000000000000e+04,7.276822666327159084e+01,6.389999999999999858e+01,1.893040259281794135e+01,7.214296837823248154e+01,6.926453627559612869e+01,1.942729438099082273e+01,1.000000000000000000e+00
7.500000000000000000e+01,7.100000000000000000e+01,2.005400000000000000e+04,3.007000000000000000e+04,6.755392827192942207e+01,7.250000000000000000e+01,1.745583828687667705e+01,6.440411654177866296e+01,7.444016815284493305e+01,1.693033654218212192e+01,1.000000000000000000e+00
7.700000000000000000e+01,6.300000000000000000e+01,2.108100000000000000e+04,2.538500000000000000e+04,7.054235858917236612e+01,6.750000000000000000e+01,1.970930689175923689e+01,6.627728387172444968e+01,7.022850475502887946e+01,1.782262037795135967e+01,1.000000000000000000e+00
6.500000000000000000e+01,6.800000000000000000e+01,2.265200000000000000e+04,2.345100000000000000e+04,7.009877149661382134e+01,6.559999999999999432e+01,1.929664738575617378e+01,6.960413121680528548e+01,7.266642394879549727e+01,1.847808847604873961e+01,1.000000000000000000e+00
6.900000000000000000e+01,6.500000000000000000e+01,1.892500000000000000e+04,3.579000000000000000e+04,7.034619516531626005e+01,6.409999999999999432e+01,1.843285409609476844e+01,6.828063705176886344e+01,7.147584225809663394e+01,1.856892431376369146e+01,1.000000000000000000e+00
8.000000000000000000e+01,6.800000000000000000e+01,2.308500000000000000e+04,2.228600000000000000e+04,5.368895763158798218e+01,7.370000000000000284e+01,1.627017116149266585e+01,5.525874905564396045e+01,7.268480516806111780e+01,1.656247090867767469e+01,1.000000000000000000e+00
6.400000000000000000e+01,7.600000000000000000e+01,1.678300000000000000e+04,3.885900000000000000e+04,5.347796802123387749e+01,7.840000000000000568e+01,1.658259500662485664e+01,5.410730022670834671e+01,7.647614283004530478e+01,1.681377900954165838e+01,1.000000000000000000e+00
6.600000000000000000e+01,6.200000000000000000e+01,2.140900000000000000e+04,2.453200000000000000e+04,5.847608377138773506e+01,7.920000000000000284e+01,1.977210234403610301e+01,5.948781605852416732e+01,6.976221169530911936e+01,1.924038241023070128e+01,1.000000000000000000e+00
7.900000000000000000e+01,6.300000000000000000e+01,1.915000000000000000e+04,3.394000000000000000e+04,5.615315227309862678e+01,6.859999999999999432e+01,1.748629598617553782e+01,5.853003938048493637e+01,7.060333477728137552e+01,1.764815472481214442e+01,2.000000000000000000e+00
6.600000000000000000e+01,8.000000000000000000e+01,2.167000000000000000e+04,1.850800000000000000e+04,5.311080821355184156e+01,7.979999999999999716e+01,1.583438589970270804e+01,5.314484102770835250e+01,7.879271360319316386e+01,1.610610261342372240e+01,1.000000000000000000e+00
6.900000000000000000e+01,6.900000000000000000e+01,2.523300000000000000e+04,1.491000000000000000e+04,5.492179392576217367e+01,8.109999999999999432e+01,1.646178948084513394e+01,5.634017016136536427e+01,7.327175875061993793e+01,1.784400413563606236e+01,1.000000000000000000e+00
6.900000000000000000e+01,7.500000000000000000e+01,2.554300000000000000e+04,1.604000000000000000e+04,5.343375408252079950e+01,7.779999999999999716e+01,1.617277211745579990e+01,5.515690480446045285e+01,7.654000769024166573e+01,1.680639940229582052e+01,1.000000000000000000e+00
7.200000000000000000e+01,7.200000000000000000e+01,1.931300000000000000e+04,2.111300000000000000e+04,5.435977639754613477e+01,7.790000000000000568e+01,1.617401700019836497e+01,5.659676692756630700e+01,7.527180478674736719e+01,1.685005276749406633e+01,1.000000000000000000e+00
8.100000000000000000e+01,6.500000000000000000e+01,2.351000000000000000e+04,3.169800000000000000e+04,7.000196423331897222e+01,7.065000000000000568e+01,1.830752284526824880e+01,6.853368660667902645e+01,7.098524941508478037e+01,1.719021002710340440e+01,2.000000000000000000e+00
6.500000000000000000e+01,8.300000000000000000e+01,1.714600000000000000e+04,2.453400000000000000e+04,5.321855137348175191e+01,8.579999999999999716e+01,1.559231177965799908e+01,5.272914882500869282e+01,7.935405815658710083e+01,1.572835091355821469e+01,1.000000000000000000e+00
6.600000000000000000e+01,6.900000000000000000e+01,2.489600000000000000e+04,3.067200000000000000e+04,6.799859851996103544e+01,7.170000000000000284e+01,1.869282067616780552e+01,6.654176267786931476e+01,7.287894382270408755e+01,1.842265170327907597e+01,1.000000000000000000e+00
7.200000000000000000e+01,7.500000000000000000e+01,2.343900000000000000e+04,2.412800000000000000e+04,6.842381229400635334e+01,7.740000000000000568e+01,1.925663157701492167e+01,6.467037202717234834e+01,7.641323764045516498e+01,1.664467280821315143e+01,1.000000000000000000e+00
8.630318167252282535e+01,6.000000000000000000e+01,1.776482762032015307e+04,3.948032621538875537e+04,5.635253576834996636e+01,7.579999999999999716e+01,1.911744219859441074e+01,5.704993245966458204e+01,6.999376718855963020e+01,1.705247253407893027e+01,1.000000000000000000e+00
6.288331900457274060e+01,8.060569870676198434e+01,2.011254906584621494e+04,3.680751181882296805e+04,5.225434500376383795e+01,8.929999999999999716e+01,1.645473789374033657e+01,5.286634905256107686e+01,7.796939567938845528e+01,1.633220703428098375e+01,1.000000000000000000e+00
6.071280307326036052e+01,8.459777316889582721e+01,2.564823607491147413e+04,1.609660124208281013e+04,5.091379420359929497e+01,8.370000000000000284e+01,1.555251890023549421e+01,5.245239400193248258e+01,7.967123556924639161e+01,1.594299639016939452e+01,1.000000000000000000e+00
6.544348095960285150e+01,8.411164326689002735e+01,1.768962902172701433e+04,3.911621398932048760e+04,5.198724613189697408e+01,8.679999999999999716e+01,1.562396920522053989e+01,5.258073616818596463e+01,7.863678250469118325e+01,1.587998830709780940e+01,1.000000000000000000e+00
6.092997233623211883e+01,8.500000000000000000e+01,2.460923105346698139e+04,2.899229064560270126e+04,5.104560962120692125e+01,8.070000000000000284e+01,1.563257520596186367e+01,5.197889489402157182e+01,7.918968133760439798e+01,1.602444924222066902e+01,1.000000000000000000e+00
7.715767504340657013e+01,7.270843166057299811e+01,2.573789121821693698e+04,1.325002094204929745e+04,5.419417602618535312e+01,8.970000000000000284e+01,1.681373316049575806e+01,5.534113485050966119e+01,7.541573899204689724e+01,1.618192269143971984e+01,1.000000000000000000e+00
6.268574133166872997e+01,7.861864813972898958e+01,1.670127907330719245e+04,4.161872097489764565e+04,5.317103911638260172e+01,8.240000000000000568e+01,1.585855884949366335e+01,5.304204471550750100e+01,7.717038657311346128e+01,1.647261373956292019e+01,1.000000000000000000e+00
9.000000000002327738e+01,6.000000000000000711e+01,2.402957791023474056e+04,1.487448325714570638e+04,5.650019970734913954e+01,6.150000000000000000e+01,1.516851853529612271e+01,5.607625197997764843e+01,6.874741965303660152e+01,1.567077731731721180e+01,1.000000000000000000e+00
8.843974472648963570e+01,6.156025527381420659e+01,2.536341029382464694e+04,1.351658970616463375e+04,5.528901938199997090e+01,6.890000000000000568e+01,1.570596547126769948e+01,5.480893097429930805e+01,6.932855010184063360e+01,1.570496549555988963e+01,1.000000000000000000e+00
6.000000000307507975e+01,6.703608422358301766e+01,1.715250494303731466e+04,4.115115028606064880e+04,6.983789635101953763e+01,7.250000000000000000e+01,1.901457784175872945e+01,6.859482071090359057e+01,7.256366134418540526e+01,1.826858318508378431e+01,1.000000000000000000e+00
6.000000000000000000e+01,6.000000000048005688e+01,2.591999999790760194e+04,1.296000000214829197e+04,7.155326829353968776e+01,6.879999999999999716e+01,2.042972893317540439e+01,7.077373060521868808e+01,6.890691342206974923e+01,1.938387863062300198e+01,1.000000000000000000e+00
9.000000000000079581e+01,6.000000000000000000e+01,2.025587516913830405e+04,2.189674209037537730e+04,6.899190655946730999e+01,5.910000000000000142e+01,1.682899621725082540e+01,6.033302058578224347e+01,6.912303286572888794e+01,1.587842490199789935e+01,1.000000000000000000e+00
6.934206400720839270e+01,8.065793599279159309e+01,2.322028015940467230e+04,2.468074882048726795e+04,5.190137097835540914e+01,7.829999999999999716e+01,1.595706830024719203e+01,5.226363331079262053e+01,7.868283324344851337e+01,1.605938265207981175e+01,1.000000000000000000e+00
6.000000000000000000e+01,8.159898810858045692e+01,2.535257534654353367e+04,1.597810538172312044e+04,5.147513172229130873e+01,8.000000000000000000e+01,1.596180120706558192e+01,5.561935365182703350e+01,7.905062313281669617e+01,1.623373237440153005e+01,1.000000000000000000e+00
9.000000000480432050e+01,6.000000000000000000e+01,2.312985009024342435e+04,1.836957952075967114e+04,5.546198834048377080e+01,6.509999999999999432e+01,1.516631794505649111e+01,5.708846306405879290e+01,6.878972355689238327e+01,1.579135435219656358e+01,3.000000000000000000e+00
